abbot	Ledare för ett kloster	Munkarnas överhuvud
stått	Har varit upprätt en stund	Har befunnit sig kvar länge
städa	Göra rent i hemmet	Plocka undan och damma
stämd	Instrument justerat till rätt tonhöjd	Åtalad inför domstol
stämt	Beslutat gemensamt genom röstning	Väckt talan mot någon
stäng	Order att låsa dörren	Sätt igen en butik
stänk	Liten skvätt vätska	Fläck av färg på väggen
stöka	Skapa oreda och rörelse	Bråka runt med sysslor
stöld	Brott där man tar annans egendom	Det som sker vid ett inbrott
störs	Blir avbruten av oväsen	Utsätts för buller
stört	Fallit brant nedåt	Kraschat, till exempel med flygplan
stött	Har fått en törn	Känner sig sårad av en kommentar
sugna	Har fått lust att äta något	Känner aptit på en godbit
supit	Har druckit för mycket alkohol	Har festat med sprit länge
surra	Ljudet en fluga gör	Att binda fast något ordentligt
sushi	Japansk maträtt med ris och rå fisk	Rulle med nori och vasabi
svagt	Med liten styrka eller intensitet	Beskriver ett tunt ljus
svala	Liten flyttfågel med kluven stjärt	Fågel som förebådar sommaren
svalt	Kändes lagom kallt	Beskriver en behagligt kylig kväll
svamp	Växer i skogen och kan ätas	Används för att diska
svara	Ge respons på en fråga	Reagera på ett meddelande
svart	Färgen utan ljus	Motsatsen till vit
svepa	Röra sig snabbt över en yta	Linda in en kropp inför begravning
svept	Har rört sig snabbt förbi	Har blivit inlindad i tyg
svett	Vätska som bildas vid ansträngning	Det man gör mycket av i bastu
svida	Kännas som ett stick i huden	Göra ont som efter ett sår
svika	Bryta ett givet löfte	Överge någon som litar på en
sving	Rörelse med en golfklubba	Kraftfull svängande rörelse
svårt	Med stor ansträngning	Inte alls lätt
svält	Total brist på mat	Tillstånd av extrem hunger
sväva	Röra sig fritt i luften	Hänga kvar utan att falla
synas	Kan ses av andra	Är synlig i mörkret
synes	Verkar vara på ett visst sätt	Ser ut att vara sant
synsk	Kan se in i framtiden	Har övernaturlig förmåga att ana saker
syret	Gasen som pumpas till dykaren	Det vi andas för att leva
sägas	Ryktas, enligt vad folk hävdar	Påstås utan bekräftelse
sälar	Havslevande djur med fenor	Djur som solar sig på klippor vid havet
sämst	Allra minst bra	Ligger i botten av rankingen
sända	Skicka iväg något	Överföra ett tv-program
sänka	Göra så att något går under vattnet	Reducera ett värde
sänts	Blivit skickad iväg	Överförts via sändning
sörjt	Känt sorg efter en förlust	Gråtit över en bortgången
tacka	Uttrycka sin tacksamhet	Hondjur av får
tagen	Chockad och berörd	Överraskad av nyheten
tager	Bibelspråkigt uttryck för att någon plockar upp något	Bibelspråkigt uttryck för att någon plockar upp något
taget	Redan upptaget, ej ledigt	Redan bokat av någon annan
tagga	Vass utskott på en kaktus	Skarp del på en ros
tagit	Redan gripit tag i något	Har plockat åt sig
tagna	Berörda, flera personer	Chockade av samma händelse
taken	De övre delarna av flera hus	Vad regnet faller på, flera stycken
talan	Rätt att föra sin sak i domstol	Juridisk framställning i en tvist
talar	Håller ett anförande just nu	Uttrycker sig med ord
talas	Det diskuteras mellan människor	Man samtalar om saken
talat	Har uttryckt sig muntligt	Man har fört ett samtal
talen	De numeriska värdena	Siffrorna i en beräkning
talet	Antalet av något	Seklets benämning, som i nittonhundra-
tango	Passionerad pardans	Dans med ursprung i Sydamerika
tanig	Mager och senig till kroppen	Klen och utan muskler
tanka	Fylla på bränsle i fordonet	Besöka en bensinstation för påfyllning
tanke	Idé som dyker upp i huvudet	Mental föreställning
tanks	Stridsvagnars	Pansarfordons tillhörighet
tavla	Konstverk som hänger på vägg	Målning i en ram
tegel	Rött byggmaterial av bränd lera	Murat material till hus
tejpa	Fästa något med klisterremsa	Linda in med limband
teman	Flera ämnesområden	Olika huvudmotiv i en serie verk
temat	Det valda ämnet i texten	Huvudmotivet som återkommer
tempo	Hastighet i utförandet	Farten i en process
tenor	Hög mansröst inom opera	Sångröst mellan bariton och alt
tenta	Skriftligt prov på högskolan	Examination inför betyg
teori	Förklaringsmodell utan bevis	Vetenskapligt antagande
tesla	Måttenhet för magnetfält	Fysikalisk enhet inom elektromagnetism
testa	Prova något innan man bestämmer	Undersöka en funktion
teven	Apparaten i vardagsrummet	Rutan man tittar på om kvällen
tiara	Huvudprydnad av ädelsten	Krona buren vid festliga tillfällen
tiden	Klockan som ständigt går	Det som mäts i sekunder och timmar
tider	Olika epoker i historien	Flera tidpunkter
tigga	Be om pengar på gatan	Vädja om allmosor
timme	Enhet för sextio minuter	Tidsenhet mellan minut och dygn
tinar	Smälter isen sakta	Blir varm och töar upp
titel	Boks eller films namn	Rangbeteckning för en person
titta	Rikta blicken mot något	Se på TV
tjata	Envist upprepa samma sak	Nagga någon om samma sak igen och igen
tjena	Vardagligt hälsningsord	Slarvig hälsning bland kompisar
tjock	Motsats till tunn	Har stor omkrets
tjuga	Vardagligt ord för tio kronor	Slangnamn på en tiolapp
tjäna	Få pengar genom arbete	Vara till nytta för någon
toast	Rostat brödsnitte	Ofta äts med ost och skinka
tomte	Julens gåvobärare	Rödklädd gestalt vid jul
tonen	Klangen som just nämndes	Den specifika musikaliska höjden
toner	Musikaliska ljud	Vad en melodi består av
torde	Antas göra något, formellt	Uttrycker sannolikhet i skrift
torka	Bli av med väta	Långvarig brist på regn
torra	Utan fukt, om flera saker	Saknar väta
torsk	Vanlig matfisk i Nordsjön	Ger filé till fish and chips
total	Fullständig och hel	Summan av allt
trams	Nonsens och dumheter	Meningslöst prat
trans	Förändrat medvetandetillstånd	Djup hypnotisk dvala
trasa	Tygbit för avtorkning	Sliten tygstump
trean	Den specifika tredje platsen	Den nämnda tredjeplatsen
trend	Rådande modenyck	Riktning som blir populär
triss	Tre lika i kortspel	Populärt svenskt lottospel
trist	Tråkig och dyster	Utan glädje eller spänning
troll	Väsen i sagor	Bergsboende figur i folklore
trots	Envist motstånd	Vägran att lyda
trott	Trodde, i äldre form	Ansåg vara sant, förr
trumf	Vinnande kort i spel	Starkaste färgen i kortspel
trust	Storföretag med marknadsmakt	Kartell av bolag
trygg	Utan fara	Känner sig säker
tryne	Djurs nos	Grisens ansikte
tråka	Göra någon uttråkad	Reta genom att förarga
trång	Har för lite utrymme	Svår att komma igenom, som en passage
träna	Öva upp sin kondition	Förbereda inför tävling
trätt	Har bråkat med ord	Har grälat om något
tröga	Långsamma och trögflytande	Saknar snabbhet
tröja	Klädesplagg för överkroppen	Bärs ofta under jacka
tröst	Ord som lugnar sorgsen	Ger stöd i sorgen
trött	I behov av vila	Utmattad efter jobb
tungt	Svårt att lyfta	Har hög vikt
tunna	Stort träkärl för öl	Rund behållare för vätska
turer	Resor med bestämt mål	Steg i en dans
tusan	Mild svordom	Uttryck för förvåning
tutan	Ljudande signal på bilen	Fordonets varningssignal
tvist	Rättslig konflikt	Oenighet mellan parter
tvåan	Silvermedaljören i tävlingen	Andra växeln i bilen
tvång	Något man måste göra	Yttre press att handla
tvåor	Flera resultat av samma poäng	Siffror mellan ettor och treor
tvärs	Rakt över, i vinkel	Från sida till sida
tvätt	Smutsiga kläder att rengöra	Görs i maskin hemma
tyska	Språket i Berlin	Kvinna från Tyskland
tysta	Få någon att sluta prata	Dämpa allt oväsen
tålig	Har lätt att vänta ut saker	Uthärdar svårigheter lugnt
tårna	Kroppsdelarna längst ner på foten	Sitter i skorna
tårta	Bakverk med grädde och lager	Serveras på födelsedagar
tända	Sätta eld på något	Slå på en lampa
tärna	Vit sjöfågel med kluven stjärt	Fågel som häckar vid kusten
törst	Behov av att dricka	Stark längtan efter något
uggla	Nattaktiv rovfågel med runda ögon	Fågel som symboliserar visdom
ultra	Förled som betyder extremt	Beteckning för fanatisk anhängare
undan	Åt sidan, ur vägen	Bort från något hotfullt
undgå	Slippa något obehagligt	Lyckas komma ifrån en fara
undra	Fundera i förundran	Ställa sig frågande till något
undre	Den nedre av två delar	Motsatsen till övre
ungar	Småbarn i talspråk	Djurens avkommor
ungmö	Äldre ord för ogift kvinna	Poetiskt uttryck för flicka
unika	Sällsynta och enastående föremål	Saker utan motstycke
union	Sammanslutning av stater	Förbund mellan flera parter
unnar	Ger någon en glädje av godhet	Skänker generöst till andra
uppge	Lämna information officiellt	Ange ett skäl eller namn
uppnå	Lyckas nå ett mål	Komma fram till önskat resultat
urnan	Kärlet för askan efter kremering	Behållaren för röstsedlar
urval	Ett begränsat sortiment att välja bland	Det som sållats fram ur mängden
uselt	På ett bedrövligt sätt	Riktigt undermåligt
utbud	Det som erbjuds på marknaden	Mängden varor att köpa
utdöd	Inte längre existerande art	Försvunnen för alltid från jorden
utför	Nedåt en backe	Riktning på slalombacken
utgav	Publicerade en bok	Släppte ut något offentligt
utkik	Plats för att spana efter fara	Vaksam blick mot horisonten
utmed	Längs med en väg eller kust	Bredvid en sträcka
utrop	Högt tillkännagivande	Bud som ropas ut på auktion
utses	Blir vald till en post	Pekas ut av andra
utstå	Härda ut med lidande	Tåla något svårt
utsåg	Valde ut en kandidat tidigare	Pekade ut vem som skulle tjänstgöra
uttal	Sättet ord låter när de sägs	Fonetisk framställning av ett ord
utväg	Lösning på ett svårt läge	Sätt att ta sig ur problem
utöka	Göra större eller fler	Utvidga en samling
vaden	Muskeln baktill på underbenet	Kroppsdel man sträcker vid löpning
vadet	Grunt ställe att korsa vattendrag	Insatsen i ett spel
vagga	Möbel för sovande spädbarn	Gunga fram och tillbaka
vakar	Är vaken och håller uppsikt	Sitter uppe och passar någon
vakat	Suttit uppe hela natten	Har hållit vakt över en sjuk
vakna	Sluta sova	Öppna ögonen på morgonen
vakta	Hålla uppsikt över något	Se till att inget stjäls
valda	Utsedda genom omröstning	Föredragna framför andra
valen	Domnad av köld	Stel och känslolös i händerna
valet	Den demokratiska omröstningen	Beslutet mellan olika alternativ
valsa	Dansa i tretakt	Snurra runt på dansgolvet
vanan	Den invanda rutinen	Det man alltid brukar göra
vanen	Rutinen	Den invanda beteendet
vanor	Återkommande beteenden	Rutiner man har i vardagen
vapen	Föremål avsett att skada motståndare	Svärd eller gevär, till exempel
varan	Den specifika produkten i butiken	Det man köper i affären
varat	Har pågått en tid	Fortsatt utan avbrott
varav	Vilket i sin tur leder till	Anger orsak till det följande
varda	Bli till, i högtidlig stil	Uttryck för att något ska uppstå
varma	Har hög temperatur, om flera saker	Skönt uppvärmda
varna	Uppmana till försiktighet	Säga till någon om fara i förväg
varor	Saker till försäljning	Produkter i en butik
varpå	Och sedan hände detta	Efter vilket något följde
varse	Bli medveten om något plötsligt	Upptäcka något man inte sett förut
vassa	Skarpa, kan skära	Spetsiga och farliga
velat	Varit obeslutsam, i perfekt form	Har tvekat fram och tillbaka
vener	Blodkärl som för blod till hjärtat	Syns blåaktiga under huden
verka	Ge intryck av att vara	Vara verksam inom ett yrke
vespa	Italiensk skoter	Tvåhjuling med litet motorljud
viker	Böjer ihop, exempelvis tvätt	Ger vika för press
vilat	Har tagit det lugnt, i perfekt form	Har sovit eller kopplat av
vilka	Frågeord om flera personer	Undrar om en grupp okända
villa	Fristående hus med trädgård	Enfamiljsbostad
vinet	Druvdrycken	Den flaska man just öppnat
vinka	Röra handen till hej då	Signalera med handen
viral	Sprider sig snabbt på nätet	Rör virus, i beskrivande form
virke	Timmer att bygga med	Sågat trämaterial
viska	Tala mycket tyst	Prata knappt hörbart
vissa	Några, men inte alla	En del av en grupp
vodka	Klar spritdryck	Populär dryck att blanda med juice
vrede	Stark ilska	Känsla av raseri
vrida	Rotera med handen	Skruva runt något
vrist	Kroppsdel vid fotleden	Ovansidan av foten
vräka	Kasta ut en hyresgäst	Forsa fram kraftigt, om vatten
vräkt	Har blivit utkastad från lägenhet	Utslängd med tvång
vågar	Redskap för att mäta vikt	Rörelser på havsytan
vålla	Orsaka olycka	Ge upphov till problem
våran	Talspråklig form som pekar ut något som tillhör oss	Slarvigt sätt att säga att något är gemensamt ägt
våras	För länge sedan, i uttryck om tid	'I ...' betyder för en tid sedan
våren	Årstiden med blomning	Perioden när snön smälter
vädra	Släppa in frisk luft	Ana något i förväg
välta	Tippa omkull	Falla på sidan
vänds	Blir riktad åt annat håll	Svängs om
vänja	Göra van vid något	Anpassa sig gradvis
värde	Det något är värt	Betydelse eller pris
värna	Skydda något viktigt	Ta hand om och bevara
värre	Mer negativt än förut	Sämre än tidigare
värva	Rekrytera någon	Skaffa nya medlemmar
väska	Bärbar förvaringsplats	Man packar den innan resan
vässa	Göra vassare	Slipa en kniv
yngre	Mindre gammal, jämförelseform	Har färre år bakom sig än någon annan
yngst	Minst till åldern	Sist född i syskonskaran
yrade	Talade osammanhängande i feber	Pratade förvirrat
yrkar	Kräver formellt	Begär inför domstol
yrken	Olika sysselsättningar	Flera arbeten man kan välja
yrket	Det specifika arbetet	Ens karriär eller bransch
yrsel	Känsla av att allt snurrar	Ostadighetskänsla i huvudet
ytlig	Utan djup, bara på ytan	Saknar egentlig eftertanke
yttra	Säga något högt	Uttrycka en åsikt
yttre	Det som syns utanpå	Motsatsen till inre
åkern	Det odlade fältet	Marken bonden just plöjt
ånger	Känsla av att man önskar ogjort	Skuldkänsla över ett misstag
ångor	Flera moln av het gas	Rök och dunster tillsammans
ångra	Önska att man gjort annorlunda	Be om ursäkt inombords för sitt beslut
åsido	Ställd utanför, ur vägen	Lagd på hyllan för tillfället
åsikt	Personlig mening om något	Det man tycker i en fråga
åskan	Det dånande vädret	Mullret från himlen under stormen
åsnan	Det enträgna djuret	Lasttransportören med skri och envishet
åtala	Ställa någon inför rätta	Väcka rättslig process mot en misstänkt
åttan	Siffran	Numret precis efter sjuan
åttio	Talet efter sjuttionio	Åtta tiotal
åttor	Flera siffror mellan sju och nio	Upprepade tecken formade som en snögubbe på sidan
äckel	Stark motvilja	Känslan när man ser något vidrigt
ädelt	Beskriver ett gott och storsint beteende	Kvalitet hos ett generöst handlande
ägare	Den som innehar något	Person som juridiskt förfogar över egendom
ägdes	Tillhörde någon, i passiv form	Var i någons besittning förr
äggen	Hönans avkommor i skalet, flera	Det man kokar till frukost, flera stycken
äldre	Har fler levnadsår än en annan	Mer erfaren i ålder än en jämförd person
äldst	Har flest levnadsår i en grupp	Den mest erfarna till åren av alla
älska	Känna stark kärlek	Vara djupt förtjust i någon
älvan	Sagoväsendet	Den lilla vingprydda varelsen i berättelsen
ämnat	Har haft för avsikt att göra något	Var på väg att göra en sak
ämnet	Skolkursen man läser	Föremålet för diskussionen just nu
ändar	Ändpunkter på flera saker	Avslutar flera saker
änden	Slutet på något	Den sista biten av en sträcka
änder	Fåglar som simmar i dammen	Flera kvackande fåglar
ängen	Den blomstrande gräsmarken	Platsen där korna betar
änkan	Kvinnan utan sin make	Den efterlevande kvinnan
äpple	Röd eller grön frukt från ett träd	Frukten som lärare ibland får som gåva
ärade	Visade stor respekt för	Hedrade högtidligt
ärlig	Talar alltid sanning	Bedrar aldrig andra
ärmar	Delar av tröjan som täcker armarna	Skjortans sidodelar
ärmen	Delen av tröjan som täcker armen	Plagget kring armen
ärren	Märken efter gamla sår, flera	Spåren efter läkta skador
ärret	Märket efter ett gammalt sår	Spåret efter en läkt skada
ärtor	Runda gröna grönsaker i baljor	Gröna små runda frön man äter
ärvde	Tog emot arv efter någon	Fick egendom vid en släktings död
ärver	Tar emot arv efter någon	Får egendom när en anhörig går bort
ödlan	Reptildjuret på stenen	Krypet med fjäll
ödlor	Flera fjällklädda kräldjur	Reptiler som solar sig på klippor
ödsla	Slösa bort tid eller resurser	Använda något i onödan
ökade	Blev fler eller större	Steg i antal eller mängd
öknen	Det sandiga, torra landskapet	Sahara är ett exempel på denna
ömhet	Kärleksfull mildhet	Känslan av att vara varsam mot någon
önska	Att hoppas få något	Vad man gör vid ett stjärnfall
öppen	Inte stängd	Tillgänglig för alla
öppna	Göra tillgänglig	Låsa upp och släppa in
örnar	Stora rovfåglar med vass syn	Kungliga fåglar högt uppe i luften
örter	Kryddväxter i köket	Basilika och timjan hör till dessa
örtte	Varm dryck utan koffein	Bryggd på blad eller blommor
öster	Väderstrecket där solen går upp	Motsatsen till väster
östra	Belägen mot soluppgången	Den del som ligger åt öster
övade	Tränade in en färdighet	Upprepade en rörelse för att bli bättre
